Postal code,District,Appartments,Type of Building,m2,Debtfree price,€/m2,Construction year,Floor,Elevator,Condition,Plot,Energy class
'00100,Studio apartment,,,,,,,,,,,
",E2007
'02650,Leppävaara,1h+kk,kt,"34,00",148000,4353,1983,3/3,no,average,"own							D
",D
'02650,Leppävaara / mäkkylä,1h + kk,kt,"29,00",122000,4207,1962,3/3,no,average,"own							
",
'02650,Mäkkylä,"1h,kk ja kh",kt,"30,50",115000,3770,1961,1/2,no,average,"own							
",
'02650,Leppävaara,"1h, kk",kt,"32,00",131600,4113,1964,4/4,no, ,"own							
",
'02650,"
2 rooms
",,,,,,,,,,,
'02650,Leppävaara,2h+k+kph+parveke,kt,"52,50",191000,3638,1963,3/3,no,good,"own							E2012
",E2012
'02650,Vallikallio,"2 h, k, s, vh, ...",kt,"55,50",197000,3550,1985,1/3,no,average,"own							D2007
",D2007
'02650,Leppävaara,"2h, k, s, vh, l...",kt,"61,50",243500,3959,1992,2/3,yes,good,"own							F2013
",F2013
'02650,Leppävaara,2h+k+kph+vh+et+...,kt,"58,00",227000,3914,1981,2/4,yes,good,"own							D2013
",D2013
'02650,Leppävaara,"2h,kt,s,p",kt,"44,00",262000,5955,2021,5/5,no,good,"own							A2018
",A2018
'02650,Leppävaara,"2h, kt, kh, s, ...",kt,"44,00",270900,6157,2021,6/7,no,good,"own							A2018
",A2018
'02650,Leppävaara,"2h, kt, kh, s, ...",kt,"44,00",281300,6393,2021,7/7,no,good,"own							A2018
",A2018
'02650,"Vallikallio, leppävaara, mäkkylä, lintuvaara","2h, k, kph, las...",kt,"52,50",202500,3857,1984,3/5,yes,good,"own							
",
'02650,Mäkkylä,"2h, kt, s",kt,"55,00",305000,5545,2012,3/8,yes,good,"rent							C2013
",C2013
'02650,Mäkkylä,"2h, kk, kph, vh...",kt,"40,00",165000,4125,1961,1/2,no,good,"own							G2013
",G2013
'02650,Leppävaara,2h+k+s+las.parv,kt,"60,00",220500,3675,1990,2/3,no,average,"own							C2013
",C2013
'02650,Leppävaara,"2h, k, kph, las...",kt,"56,50",205000,3628,1962,1/3,no,good,"own							F2013
",F2013
'02650,Leppävaara,2h+k+kph+s+p,kt,"59,00",249000,4220,1997,2/4,no,good,"own							F2013
",F2013
'02650,Leppävaara,"2h, k, 2x wc, s...",kt,"66,00",280000,4242,1987,7/8,yes,good,"own							C2007
",C2007
'02650,Leppävaara,"2h,k,kph,sauna,...",kt,"51,50",210000,4078,1985,1/6,yes,good,"own							F
",F
'02650,Leppävaara,"2h, kk, s",kt,"47,00",188000,4000,1988,2/5,yes,good,"own							E2013
",E2013
'02650,Leppävaara,2 h+k+s+las.par...,kt,"59,00",224000,3797,1986,1/3,yes,average,"own							D2007
",D2007
'02650,"Mäkkylä, leppävaara","2h, k, s, kph, ...",kt,"65,00",310000,4769,2012,4/8,yes,good,"rent							D2013
",D2013
'02650,Vallikallio,"2h,kk,s",kt,"41,00",203000,4951,2010,2/6,yes,good,"own							C2007
",C2007
'02650,Leppävaara,"2h, k, kph, s, ...",kt,"51,50",198000,3845,1986,2/7,yes,good,"own							D2007
",D2007
'02650,Mäkkylä,2h+k+s,rt,"58,50",250000,4274,1988,1/1,no,good,"own							C2007
",C2007
'02650,Vallikallio,"2h,k,kph,s",kt,"53,50",193000,3607,1982,1/4,no,good,"own							E
",E
'02650,Mäkkylä/leppävaara/perkkaa,2h+kk+puutarha,kt,"40,00",150000,3750,1961,1/2,no,good,"own							
",
'02650,Leppävaara,"2h, kk",kt,"38,00",133000,3500,1962,1/2,no,average,"own							
",
'02650,Mäkkylä,"2h, k, s, lasit...",kt,"60,00",336000,5600,2013,5/8,yes,good,"rent							D2013
",D2013
'02650,Puustellinmäki,"2h, k",kt,"54,00",180000,3333,1961,2/4,no,good,"own							F2013
",F2013
'02650,Vallikallio,2h+k+kph+s,kt,"59,00",164000,2780,1985,2/4,yes,average,"own							
",
'02650,Vallikallio,2h+k+kph+parv.,kt,"55,50",175000,3153,1964,2/2,no,good,"own							
",
'02650,Leppävaara,"2h, kk, kph, la...",kt,"45,00",210000,4667,2010,8/20,yes,good," 							
",
'02650,Leppävaara,"2h, k, kph, las...",kt,"56,00",160000,2857,1980,2/4,yes,good,"own							F2013
",F2013
'02650,Leppävaara,"2h, k, kph,vh, ...",kt,"46,50",179000,3849,1986,3/3,yes,average,"own							D
",D
'02650,3 rooms,,,,,,,,,,,
'02650,Mäkkylä,"3h, avok, kph, ...",rt,"89,50",370000,4134,2009,-1/2,no,good,"rent							E2013
",E2013
'02650,Mäkkylä,"3h, avok, kh, w...",rt,"87,50",405000,4629,2012,2/2,no,good,"own							C2013
",C2013
'02650,Vallikallio,"3h, k, s",kt,"76,00",297000,3908,1988,2/5,yes,good,"own							D2013
",D2013
'02650,Vallikallio,3h+k,kt,"72,00",216000,3000,1978,3/4,yes,average,"own							D2018
",D2018
'02650,Leppävaara,"3h,k,s,lasitett...",kt,"67,00",245501,3664,1987,2/3,yes,good,"own							D
",D
'02650,Lintuvaara,"3h, k, s-os, er...",kt,"83,50",348000,4168,2013,4/5,yes,good,"own							A2018
",A2018
'02650,Mäkkylä,3h+k+s+ph+wc+te...,kt,"86,50",500000,5780,2013,7/8,yes,good," 							A2007
",A2007
'02650,"Leppävaara, mäkkylä",3-4h+k+s+erill....,kt,"98,00",475000,4847,2013,4/6,yes,good,"own							C2013
",C2013
'02650,Leppävaara,"3 h,avok,wc,kph...",kt,"65,00",249000,3831,1995,4/5,yes,good,"own							D2007
",D2007
'02650,3 rooms,,,,,,,,,,,
'02650,Leppävaara,"3h, k, s, lasit...",kt,"77,50",447000,5768,2010,16/20,yes,good," 							
",
'02650,Leppävaara,3h+k+s+erill.wc...,kt,"73,00",250500,3432,1987,3/3,yes,average,"own							D2013
",D2013
'02650,Leppävaara,3h+k+s+las.parv.,kt,"68,50",251000,3664,1987,2/3,no,average,"own							D2007
",D2007
'02650,Leppävaara,"3h, avok., rt, ...",kt,"64,00",262500,4102,1965,1/2,no,good,"own							G2007
",G2007
'02650,Leppävaara,3h+k+kph+s+parveke,kt,"77,50",430000,5548,2010,15/20,yes,good,"rent							C2007
",C2007
'02650,Leppävaara,"3h, k, s",kt,"76,50",432000,5647,2010,13/21,yes,good," 							
",
'02650,Mäkkylä,3H+KT+S,kt,"77,00",409000,5312,2014,3/5,yes,good,"rent							A2007
",A2007
'02650,Lintuvaara,"3h, k, s",rt,"82,00",322000,3927,1994,1/2,no,good,"own							D2013
",D2013
'02650,Leppävaara,"3h,k,kph,s,eril...",kt,"67,00",232000,3463,1986,1/7,yes,good,"own							
",
'02650,Vallikallio,"3h, k, s",kt,"68,00",220000,3235,1986,3/3,no,good,"own							D2013
",D2013
'02650,Vallikallio,3h+k+kph+s+eril...,kt,"78,00",249000,3192,1980,2/4,yes,good,"own							D2007
",D2007
'02650,Vallikallio,3h+k+kph+p+eril.wc,kt,"72,50",220000,3034,1991,4/4,yes,good,"own							D
",D
'02650,Leppävaara,3h+k+vh+s,kt,"71,00",213000,3000,1985,3/3,no,good,"own							E
",E
'02650,Leppävaara,3h+k+s,kt,"67,00",210000,3134,1986,3/7,yes,average,"own							D2007
",D2007
'02650,Vallikallio,3h+k+s,kt,"72,00",225000,3125,1985,2/4,yes,average,"own							D2007
",D2007
'02650,Vallikallio,"3h, k, s",kt,"75,50",250000,3311,1988,3/3,yes,good,"own							F
",F
'02650,Vallikallio,3h+k+kph+s+ las...,kt,"75,50",175000,2318,1980,2/3,no,poor,"own							F2013
",F2013
'02650,Leppävaara,3h+k,kt,"64,00",210000,3281,1964,3/4,no,good,"own							F2013
",F2013
'02650,Mäkkylä,"3h, k, s, piha",rt,"75,00",276000,3680,1988,1/1,no,average,"own							E2018
",E2018
'02650,Leppävaara,"3h, k, s",kt,"70,00",265000,3786,1989,4/5,yes,good,"own							F2013
",F2013
'02650,Mäkkylä,"3h, k, s, erill...",rt,"89,50",417500,4665,2009,-1/2,no,good,"own							E
",E
'02650,Mäkkylä,"3h, k, s",kt,"88,00",384000,4364,2013,1/8,yes,good," 							A2007
",A2007
'02650,Mäkkylä,"3h, k, kph, eri...",rt,"75,00",292000,3893,1988,1/1,no,average,"own							C2007
",C2007
'02650,4 rooms or more,,,,,,,,,,,
'02650,Leppävaara,"4h, k, s",kt,"90,50",430000,4751,2014,2/6,yes,good,"own							B2007
",B2007
'02650,Leppävaara,4h+k+s+terassi,kt,"104,00",392500,3774,1987,5/5,yes,good,"own							F
",F
'02650,Leppävaara,4h+k+s+vh+eril....,kt,"87,50",311000,3554,1991,3/4,yes,good,"own							B2007
",B2007
'02650,"Vallikallio, leppävaara",4h+kt+kph+s+eri...,kt,"98,00",298000,3041,1981,3/4,yes,good,"own							D2007
",D2007
'02650,Vallikallio,"4h,k,s,erill.wc...",kt,"79,50",275000,3459,1984,2/4,yes,good,"own							D2007
",D2007
'02650,Vallikallio,4h + k,kt,"80,00",235001,2938,1984,3/4,yes,average,"own							E2007
",E2007
'02650,Leppävaara,"4h, k, s, erill...",kt,"83,50",270000,3234,1993,4/5,yes,good,"own							D2007
",D2007
'02650,Leppävaara,"3mh, oh, k,s,kh...",kt,"125,00",581300,4650,2021,4/7,no,good,"own							
",
'02650,Leppävaara,"4h,k,s",kt,"93,00",315000,3387,1988,4/5,yes,good,"own							D2013
",D2013
'02650,Leppävaara,3h+k+s ja 2h+k+kph,kt,"133,00",250000,1880,2010,7/20,yes,good,"rent							C2007
",C2007
'02650,,"6 h, k, s, 2xkp...",ok,"127,00",513000,4039,2003,-1/2,no,good,"own							
",
'02650,,"4 h, k, s, eril...",ok,"100,00",425000,4250,2005,1/1,no,good,"own							
",
'02650,,"6 h, ask.h, vh,...",ok,"221,00",830000,3756,2014,-1/2,no,good,"own							A
",A
'02660,"
2 rooms
",,,,,,,,,,,
'02660,Lintuvaara,2h + k + s,rt,"62,00",261000,4210,2002,1/1,no,good,"own							D2013
",D2013
'02660,Lintuvaara,2h + k,kt,"49,00",162500,3316,1964,2/2,no,good,"own							D2007
",D2007
'02660,Lintuvaara,"2 h, k, s, kph",rt,"59,00",235000,3983,1997,1/1,no,average,"own							D
",D
'02660,3 rooms,,,,,,,,,,,
'02660,Lintuvaara,"3 h, k-rt, kh-s...",rt,"75,50",288000,3815,2002,2/2,no,good,"own							E2013
",E2013
'02660,Lintuvaara,"3h,k,s",rt,"82,00",320000,3902,1994, ,no,good,"own							D2013
",D2013
'02660,Lintuvaara,"3h, k, s, vh, l...",rt,"79,00",360000,4557,2006,1/1,no,good,"own							D2013
",D2013
'02660,4 rooms or more,,,,,,,,,,,
'02660,Lintuvaara,4h+k+s+2 kph+2 ...,ok,"101,00",423000,4188,1998,2/2,no,good,"own							
",
'02660,Lintuvaara,"4h, avok, sauna...",rt,"90,50",340000,3757,1997,1/2,no,good,"own							A2013
",A2013
'02660,Lintuvaara,"4h, k, s",ok,"130,00",335000,2577,1957,2/2,no,average,"own							
",
'02660,Lintuvaara,"4h, k, sauna/kp...",rt,"90,50",337000,3724,1997,1/2,no,good,"own							A2013
",A2013
'02660,Lintuvaara,4h+k+saunaos.+a...,ok,"130,00",408000,3138,1988,3/3,no,good,"own							
",
'02660,Lintuvaara,"3-4h, keitti_x0002_...",ok,"98,00",402000,4102,1919,2/2,no,good,"own							
",
'02660,Lintuvaara,"6-7 h, 2 k, 2 k...",ok,"202,00",550000,2723,1974,-1/2,no,good,"own							
",
'02660,Lintuvaara,"4h, k, s",rt,"120,00",480000,4000,1991,1/2,no,good,"own							E2018
",E2018
'02660,Lintuvaara,6h+k+s+autokatos,ok,"125,00",330000,2640,1953,1/3,no,average,"own							
",
'02660,Lintuvaara,"5h,k,kuisti, 2w...",ok,"101,00",329000,3257,1951,3/3,no,good,"own							
",
'02660,Lintuvaara,"5h, k, rt, 2wc,...",ok,"191,00",653000,3419,2001,-1/2,no,good,"own							
",
'02660,Lintuvaara,5h+k+rt+khh+s+2...,ok,"154,00",640000,4156,2001,1/1,no,good,"own							
",
'02660,Lintuvaara,"4h, k, s, kph, ...",rt,"91,50",310000,3388,2000,-1/2,no,good,"rent							F2013
",F2013
'02680,"
2 rooms
",,,,,,,,,,,
'02680,Lintuvaara,"2h,kt,s",kt,"54,00",238000,4407,2017,2/2,no,good,"own							C2018
",C2018
'02680,Lintuvaara,2h+avokeitti_x0002_...,kt,"49,50",213000,4303,2016,2/3,yes,good," 							C2013
",C2013
'02680,Uusmäki,2h+kt+s,kt,"53,00",232000,4377,2014,1/2,no,good,"own							C2013
",C2013
'02680,3 rooms,,,,,,,,,,,
'02680,Uusmäki,3h+k+kph+ulkova...,rt,"74,00",227900,3080,1964,1/1,no,good,"own							
",
'02680,Painiitty,"3h, k, s, piha",kt,"67,00",285000,4254,2014,1/2,no,good,"own							C
",C
'02680,Painiitty,"3h, k, s/kph/wc...",rt,"76,00",374500,4928,2016,1/1,no,good,"own							
",
'02680,,3-4h+k+kph+s+kh...,ok,"70,00",250000,3571,1939,3/3,no,good,"own							
",
'02680,4 rooms or more,,,,,,,,,,,
'02680,Uusmäki,"4h,k,s,khh,eril...",rt,"93,00",380000,4086,2000,1/1,no,good,"own							D2007
",D2007
'02680,Lintuvaara,"5h,k,s,2xkph",rt,"108,50",452500,4171,2013,2/2,no,good,"own							C2007
",C2007
'02680,,"6h, k, s, 2kph,...",ok,"160,00",672500,4203,2006,-1/2,no,good,"own							B2018
",B2018
'02680,,"6h, k, kph, eri...",ok,"120,00",390000,3250,1959,-1/2,no,good,"own							
",
'02700,Studio apartment,,,,,,,,,,,
'02700,Kauniainen,"1h, kt, parveke",kt,"30,50",174000,5705,2019,2/5,yes,good," 							C2018
",C2018
'02700,Kauniainen,"1h, kt, parveke",kt,"30,50",151812,4977,2019,2/5,yes,good," 							C2018
",C2018
'02700,Kauniainen,autohallipaikka,kt,"14,00",33000,2357,2019,1/1,yes,good,"own							B
",B
'02700,Kauniainen,"1h,avok,lasitet...",kt,"42,50",250000,5882,2011,3/6,yes,good,"own							E2013
",E2013
'02700,Kauniainen,"1h, kk, kph, parv",kt,"25,00",150000,6000,1966,3/4,yes,good,"own							E2007
",E2007
'02700,Kauniainen,"1h,kk,s",kt,"40,00",157000,3925,1987,3/3,yes,good,"own							E2007
",E2007
'02700,Kauniainen,"1h, kt, alkovi,...",kt,"30,50",163306,5354,2019,2/5,yes,good," 							C2018
",C2018
'02700,"
2 rooms
",,,,,,,,,,,
'02700,Kauniainen,"2h, kt, lasitet...",kt,"54,50",349000,6404,2019,1/5,yes,good,"own							B
",B
'02700,Kauniainen,2h+k,kt,"58,40",235000,4024,1967,3/3,no,good,"own							D2007
",D2007
'02700,Kauniainen,"2h, kt, lasitet...",kt,"48,00",385000,8021,2019,4/5,yes,good,"own							B
",B
'02700,Kauniainen,2h+k+kph+parveke,kt,"57,00",225000,3947,1970,2/3,yes,average,"own							E
",E
'02700,Kauniainen,2 h+k+kph+parveke,kt,"53,00",228000,4302,1964,2/3,no,good,"own							F
",F
'02700,Kauniainen,"2h, kt, lasitet...",kt,"45,50",305000,6703,2019,2/5,yes,good,"own							B
",B
'02700,Kauniainen,"2h, kt, lasitet...",kt,"54,50",369000,6771,2019,2/5,yes,good,"own							B
",B
'02700,Kauniainen,"2h, kt, lasitet...",kt,"48,00",369000,7688,2019,4/5,yes,good,"own							B
",B
'02700,Kauniainen,"2h, kt, lasitet...",kt,"54,50",415000,7615,2019,4/5,yes,good,"own							B
",B
'02700,Kauniainen,"2h, kt, lasitet...",kt,"45,50",312000,6857,2019,1/5,yes,good,"own							B
",B
'02700,Kauniainen,"2h, k, kph, par...",kt,"52,50",173000,3295,1965,2/3,yes,average,"own							E2007
",E2007
'02700,Meilahti,"2h, kk, kph",kt,"38,00",262000,6895,1946,8/8,yes,average,"own							E2007
",E2007
'02700,Kauniainen,"2h, kt, s, kph,...",kt,"57,00",349000,6123,2012,2/3,yes,good,"own							D2013
",D2013
'02700,Kauniainen,2 h+kt+kph+tera...,kt,"42,50",305000,7176,2016,4/4,yes,good,"own							C2013
",C2013
'02700,Kauniainen,"oh, k, mh, kh, ...",kt,"59,50",232000,3899,1975,3/3,yes,good,"own							E2007
",E2007
'02700,Kauniainen,"2h, k, s, lasit...",kt,"54,00",212500,3935,2012,3/4,yes,good,"own							C
",C
'02700,Kauniainen,"2-3h, k, s",kt,"87,00",490000,5632,2014,2/3,yes,good,"own							C
",C
'02700,3 rooms,,,,,,,,,,,
'02700,Kauniainen,"3h, kt, erillin...",kt,"85,50",650000,7602,2019,4/5,yes,good,"own							B
",B
'02700,Kauniainen,3h+k+kph/s+wc+t...,rt,"82,00",336500,4104,1994,1/2,no,good,"own							D2007
",D2007
'02700,Kauniainen,"2-3h, kt, s, 2 ...",kt,"67,00",695000,10373,2019,5/5,yes,good,"own							B
",B
'02700,Kauniainen,3h+k+s,kt,"66,50",296000,4451,2012,4/5,yes,good,"own							C2018
",C2018
'02700,Kauniainen,"3h, kt, kht, er...",kt,"94,00",645000,6862,2019,2/5,yes,good,"own							B
",B
'02700,Kauniainen,"3h, kt, kht, er...",kt,"94,00",675000,7181,2019,3/5,yes,good,"own							B
",B
'02700,Kauniainen,3 h+k+kph+wc+vh...,kt,"70,50",278000,3943,1967,2/2,no,good,"own							E
",E
'02700,Kauniainen,"3h, k",kt,"77,00",306000,3974,1967,2/3,no,good,"own							D
",D
'02700,Kauniainen,"3h, k",rt,"80,00",321500,4019,1964,1/1,no,good,"own							D2018
",D2018
'02700,Kauniainen,"2-3h, kt, s, 2 ...",kt,"67,00",678000,10119,2019,5/5,yes,good,"own							B
",B
'02700,Kauniainen,"3h, kt, s",kt,"85,00",615000,7235,2019,2/5,yes,good,"own							B
",B
'02700,Kauniainen,"3h, kt, kht, er...",kt,"94,00",695000,7394,2019,4/5,yes,good,"own							B
",B
'02700,Kauniainen,"3h, k, s, lasit...",kt,"68,00",267500,3934,2012,2/4,yes,good,"own							C2013
",C2013
'02700,Kauniainen,"2-3h, kt, erill...",kt,"91,00",597000,6560,2019,2/5,yes,good,"own							B
",B
'02700,Kauniainen,"3h, kt, s, 2 la...",kt,"107,00",787000,7355,2019,4/5,yes,good,"own							B
",B
'02700,Kauniainen,"3h, k , s",kt,"83,50",345000,4132,2000,2/2,no,good,"own							G2013
",G2013
'02700,Kauniainen,"3h, k, s",kt,"105,00",810000,7714,2009,4/5,yes,good,"own							E2013
",E2013
'02700,Kauniainen,"3h, avok, teras...",kt,"92,00",565000,6141,2009,5/6,yes,good,"own							B2007
",B2007
'02700,Kauniainen,3h+k+s,kt,"85,00",531000,6247,2011,4/6,yes,good,"own							E
",E
'02700,Kauniainen,"3h, k, kph, par...",kt,"68,00",237000,3485,1964,3/3,no,average,"own							D2013
",D2013
'02700,Kauniainen,3h+k+kph+s+wc,rt,"76,50",317500,4150,1994,2/2,no,good,"own							
",
'02700,Kauniainen,"3h, k, kph, vh,...",rt,"80,00",315000,3938,1964,1/1,no,good,"own							D2018
",D2018
'02700,Kauniainen,"3h, k, vh, kph,...",kt,"74,00",335000,4527,2014,2/4,yes,good,"own							D
",D
'02700,Kauniainen,3h+kt+s,kt,"95,50",550000,5759,2009,1/3,yes,good,"own							F
",F
'02700,4 rooms or more,,,,,,,,,,,
'02700,Kauniainen,4h+k+s,kt,"81,50",370000,4540,2012,4/4,yes,good,"own							C2013
",C2013
'02700,Gallträsk,"6 h, k, khh, sa...",rt,"193,90",804000,4146,1997,1/2,no,good,"own							
",
'02700,Kauniainen,"5h,k,s-os,khh,2...",ok,"241,00",1100000,4564,2014,-1/2,no,good,"own							
",
'02700,Kauniainen,"7 h, k, 2xkph/s...",rt,"195,00",440000,2256,1975,1/2,no,average,"own							E2013
",E2013
'02700,4 rooms or more,,,,,,,,,,,
'02700,Kauniainen,5h+k+s+kph+p+piha,rt,"113,00",602000,5327,2012,1/2,no,good,"own							
",
'02700,Kauniainen,"Oh, k, rt, tkh,...",ok,"200,00",560000,2800,1989,2/2,no,average,"own							
",
'02700,Kauniainen,5h+k,kt,"104,50",371000,3550,1970,2/3,yes,average,"own							E
",E
'02700,Kauniainen,6h+k+rt+khh+th+...,ok,"338,00",920000,2722,2004,3/3,no,good,"own							
",
'02700,Kauniainen,"6 h, k, s, 2xkp...",ok,"199,00",638000,3206,1995,1/2,no,average,"own							
",
'02700,Kauniainen,"7h,k,s,kh, khh,...",ok,"250,00",900000,3600,1991,2/2,no,good,"own							
",
'02700,Kauniainen,8-10 h+k+saunao...,ok,"236,00",764000,3237,1986,3/3,no,good,"own							
",
'02700,Kauniainen,"Oh, k, rt, 3 mh...",kt,"118,00",431000,3653,1967,1/2,no,good,"own							E
",E
'02700,Kauniainen,5h+k+s+kph+p+piha,rt,"113,00",628000,5558,2012,1/2,no,good,"own							
",
'02700,Kauniainen,"4h, k, rt, tkh,...",rt,"193,00",592500,3070,1976,2/2,no,good,"own							
",
'02700,Kauniainen,"3-4h, kt, s, la...",kt,"99,00",859000,8677,2019,5/5,yes,good,"own							B
",B
'02700,Kauniainen,"4h, kt, s",kt,"107,00",789000,7374,2019,3/5,yes,good,"own							B
",B
'02700,Kauniainen,"4h, kt, kht/eri...",kt,"107,00",835000,7804,2019,4/5,yes,good,"own							B
",B
'02700,Kauniainen,4mh+oh+k+rt+th+...,ok,"200,00",730000,3650,1999,2/1,no,good,"own							
",
'02700,Kauniainen,"4h, k, kph, eri...",kt,"80,00",202000,2525,1967,1/2,no,good,"own							
",
'02700,Kauniainen,5-6 h+k+rt+th+s...,ok,"200,00",746000,3730,1982,3/3,no,good,"own							
",
'02700,Kauniainen,"6h, k, khh, s, ...",rt,"203,00",540000,2660,1973,1/-2,no,good,"own							
",
'02700,Kauniainen,"5-6 h, rt, s, k...",ok,"159,00",650000,4088,1981,2/2,no,good,"own							
",
'02700,Kauniainen,4h+kph+wc+p,kt,"80,00",180500,2256,1967,1/2,no,poor,"own							
",
'02700,Kauniainen,"5h,k, 2 parveketta",kt,"98,00",356000,3633,1965,1/3,yes,good,"own							F2013
",F2013
'02700,Kauniainen,"5h,k,2xkph,s,2x...",ok,"355,00",950000,2676,2005,3/3,no,good,"own							
",
'02700,Kauniainen,"6h, oh, th,rt,a...",ok,"363,00",790000,2176,1967,-1/2,no,good,"own							
",
'02700,Kauniainen,"7 h+k+s-os, 2 e...",rt,"220,00",520000,2364,1991,3/3,no,average,"own							D2013
",D2013
'02700,Kauniainen,"4h, k, s, kph, ...",rt,"122,50",495000,4041,1981,2/2,no,good,"own							D2007
",D2007
'02700,Kauniainen,4h+k+rt+kph+s+w...,kt,"106,00",500000,4717,2002,2/3,no,good,"own							
",
'02700,Kauniainen,"5h, k, s, khh, ...",rt,"137,00",436000,3182,1980,2/2,no,average,"own							D2018
",D2018
'02700,Kauniainen,"4 mh, oh, k, rt...",rt,"123,00",450000,3659,1975,1/1,no,good,"own							E2007
",E2007
'02700,Kauniainen,6h+k,rt,"154,00",510000,3312,1980,1/1,no,good,"own							D2007
",D2007
'02700,Kauniainen,"4h+k+khh+s, 2 p...",kt,"164,00",1050000,6402,2009,5/5,yes,good,"own							E
",E
'02700,Kauniainen,4h+k+2 parveketta,kt,"80,00",343000,4288,1969,3/3,no,average,"own							
",
'02700,,"7 h, k, 3xkph, ...",ok,"255,00",638000,2502,1979,1/2,no,average,"own							
",
'02710,Studio apartment,,,,,,,,,,,
'02710,"There are fewer than three results, so no results are displayed.",,,,,,,,,,,
'02710,"
2 rooms
",,,,,,,,,,,
'02710,Viherlaakso,2h+k+kph+las.parv,kt,"51,50",152000,2951,1963,1/3,no,good,"own							E2007
",E2007
'02710,Viherlaakso,"2h, k",kt,"53,00",114046,2152,1975,1/3,no,average,"own							E2018
",E2018
'02710,Viherlaakso,2h+k+kh+parv.,kt,"54,50",160000,2936,1963,2/3,no,good,"own							E2013
",E2013
'02710,Viherlaakso,2h+k,kt,"60,00",113000,1883,1970,4/6,yes,average,"own							E2007
",E2007
'02710,Viherkallio,"2h, kk, kph, pa...",kt,"49,50",110516,2233,1972,1/2,no,average,"own							F2007
",F2007
'02710,Viherkallio,"2h, k",kt,"55,00",114000,2073,1969,2/3,no,average,"own							E2007
",E2007
'02710,Viherlaakso,2h+k+kph/wc+et,kt,"57,00",150000,2632,1972,2/2,no,good,"own							E2007
",E2007
'02710,Viherkallio,"2h, k",kt,"55,00",109000,1982,1969,3/3,no,good,"own							E2007
",E2007
'02710,Viherlaakso,"2h, ak, kph, s,...",rt,"63,00",244000,3873,1985,1/1,no,good,"own							D2007
",D2007
'02710,Viherlaakso,"2h,k,kph",kt,"53,00",130000,2453,1971,1/2,no,good,"own							E2007
",E2007
'02710,Viherlaakso,"2h,kk,kph,parv.",kt,"46,50",90819,1953,1970,3/5,yes,poor,"own							E2007
",E2007
'02710,Viherlaakso,2h+kk+kh+parv,kt,"46,50",149000,3204,1963,2/4,no,good,"own							E2007
",E2007
'02710,Viherlaakso,"2h,k,kph,lasite...",kt,"51,50",132000,2563,1963,3/3,no,average,"own							E2007
",E2007
'02710,Viherkallio,2h+k+kph+las.pa...,kt,"62,00",123000,1984,1978,1/2,no,good,"own							D2013
",D2013
'02710,Viherlaakso,"2 h, k, kh, par...",kt,"57,50",155000,2696,1964,5/5,yes,average,"own							E2007
",E2007
'02710,Viherlaakso,"2h, kk, kh, parv",kt,"46,50",126000,2710,1963,3/3,no,average,"own							E2007
",E2007
'02710,Viherlaakso,"2h, k, kph + la...",kt,"55,00",115000,2091,1974,3/3,no,average,"own							
",
'02710,Viherkallio,2h+kk,kt,"47,50",120500,2537,1970,6/6,no,average,"own							
",
'02710,Viherlaakso,"2h, k, kph, las...",kt,"55,00",117000,2127,1970,3/3,no,good,"own							E2007
",E2007
'02710,3 rooms,,,,,,,,,,,
'02710,Kavallinmäki,"3h,k,s,piha (Yh...",rt,"71,50",230000,3217,1988,1/1,no,average,"own							F2013
",F2013
'02710,Laaksolahti,"3 h, k, s, eril...",rt,"84,50",260000,3077,1984,1/1,no,average,"own							E2018
",E2018
'02710,Laaksolahti,"3 h, k, s, eril...",rt,"76,00",290000,3816,2003,2/2,no,good,"own							E2013
",E2013
'02710,Viherlaakso,3h+k+kph+erilli...,kt,"78,50",135000,1720,1969,1/3,no,average,"own							E2007
",E2007
'02710,Kavallinmäki,3h+k+s,rt,"77,50",293000,3781,1987,1/1,no,good,"own							F
",F
'02710,Viherlaakso,3h+k+p,kt,"78,50",144000,1834,1969,1/3,no,good,"own							E2007
",E2007
'02710,Viherlaakso,3h+k+p,kt,"75,00",137000,1827,1970,3/3,no,good,"own							
",
'02710,4 rooms or more,,,,,,,,,,,
'02710,Viherlaakso,"4k, k, lasitett...",kt,"85,00",140000,1647,1975,2/3,no,good,"own							E2018
",E2018
'02710,Viherlaakso,"4h, k, rt, s,kp...",kt,"97,50",230000,2359,1977,1/2,no,good,"own							G2013
",G2013
'02710,Kavallinmäki,"5h, k, s, kph, khh",ok,"124,00",330000,2661,1952,-1/2,no,average,"own							
",
'02710,Lippajärvi,"5h, kt, rt, 2 k...",rt,"146,00",637534,4367,2020,-1/3,no,good,"rent							B2018
",B2018
'02710,Kavallinmäki,"5-6 h, k, kph, ...",ok,"122,00",435000,3566,1961,-1/3,no,average,"own							
",
'02710,Viherlaakso,4h+k,kt,"91,50",215000,2350,1973,1/2,no,average,"own							E2013
",E2013
'02710,Kavallinmäki,"4h,k,s,autokatos",rt,"97,00",499000,5144,2019,1/1,no,good,"own							B2018
",B2018
'02710,Laaksolahti,4h+k+ph+wc+s+pi...,rt,"85,00",282000,3318,1981,1/1,no,good,"own							D2007
",D2007
'02710,Laaksolahti,"5h, k, s, patio...",rt,"94,50",269000,2847,1978,1/1,no,good,"own							C2013
